10.621694 -48.22583  3.84 "HR4167"
10.715944 -64.39444  2.76 "   The Car"
10.779500 -49.42000  2.69 "   Mu  Vel"
10.827083 -16.19361  3.11 "   Nu  Hya"
10.888528  34.21500  3.83 " 46    LMi"
10.891556 -58.85333  3.78 "HR4257"
11.030694  56.38250  2.37 " 48Bet UMa"
11.062139  61.75083  1.79 " 50Alp UMa"
11.161056  44.49861  3.01 " 52Psi UMa"
11.143167 -58.97500  3.91 "HR4337"
11.235139  20.52361  2.56 " 68Del Leo"
11.237333  15.42944  3.34 " 70The Leo"
11.307972  33.09417  3.48 " 54Nu  UMa"
11.322361 -14.77861  3.56 " 12Del Crt"
11.350111 -54.49111  3.89 "   Pi  Cen"
11.398750  10.52917  3.94 " 78Iot Leo"
11.523389  69.33111  3.84 "  1Lam Dra"
11.550028 -31.85778  3.54 "   Xi  Hya"
11.596333 -63.01972  3.13 "   Lam Cen"
11.767500  47.77944  3.71 " 63Chi UMa"
11.760111 -66.72861  3.64 "   Lam Mus"
11.817667  14.57194  2.14 " 94Bet Leo"
11.844917   1.76472  3.61 "  5Bet Vir"
11.897167  53.69472  2.44 " 64Gam UMa"
12.139306 -50.72250  2.60 "   Del Cen"
12.168750 -22.61972  3.00 "  2Eps Crv"
12.194194 -52.36861  3.96 "   Rho Cen"
12.252417 -58.74889  2.80 "   Del Cru"
12.257111  57.03250  3.31 " 69Del UMa"
12.263444 -17.54194  2.59 "  4Gam Crv"
12.331778  -0.66694  3.89 " 15Eta Vir"
12.356000 -60.40111  3.59 "   Eps Cru"
12.443306 -63.09917  1.33 "   Alp1Cru"
12.443472 -63.09944  1.73 "   Alp2Cru"
12.467333 -50.23056  3.91 "   Sig Cen"
12.497750 -16.51556  2.95 "  7Del Crv"
12.519417 -57.11333  1.63 "   Gam Cru"
12.541111 -72.13306  3.87 "   Gam Mus"
12.573111 -23.39667  2.65 "  9Bet Crv"
12.558056  69.78833  3.87 "  5Kap Dra"
12.619722 -69.13556  2.69 "   Alp Mus"
12.628389 -48.54111  3.86 "   Tau Cen"
12.691944 -48.95972  2.17 "   Gam Cen"
12.694333  -1.44944  3.65 " 29Gam Vir"
12.694333  -1.44944  3.68 " 29Gam Vir"
12.771361 -68.10806  3.05 "   Bet Mus"
12.795333 -59.68861  1.25 "   Bet Cru"
12.900472  55.95972  1.77 " 77Eps UMa"
12.926722   3.39750  3.38 " 43Del Vir"
12.933806  38.31833  2.90 " 12Alp2CVn"
13.037833 -71.54889  3.62 "   Del Mus"
13.036278  10.95917  2.83 " 47Eps Vir"
13.315361 -23.17167  3.00 " 46Gam Hya"
